model,original_model_name,archive_source,model_used,accuracy_mean,accuracy_median,accuracy_ci_lower,accuracy_ci_upper,accuracy_std,accuracy_n_datasets,accuracy_n_runs,balanced_accuracy_mean,balanced_accuracy_median,balanced_accuracy_ci_lower,balanced_accuracy_ci_upper,balanced_accuracy_std,balanced_accuracy_n_datasets,balanced_accuracy_n_runs,f1_macro_mean,f1_macro_median,f1_macro_ci_lower,f1_macro_ci_upper,f1_macro_std,f1_macro_n_datasets,f1_macro_n_runs,f1_micro_mean,f1_micro_median,f1_micro_ci_lower,f1_micro_ci_upper,f1_micro_std,f1_micro_n_datasets,f1_micro_n_runs,f1_weighted_mean,f1_weighted_median,f1_weighted_ci_lower,f1_weighted_ci_upper,f1_weighted_std,f1_weighted_n_datasets,f1_weighted_n_runs,precision_macro_mean,precision_macro_median,precision_macro_ci_lower,precision_macro_ci_upper,precision_macro_std,precision_macro_n_datasets,precision_macro_n_runs,recall_macro_mean,recall_macro_median,recall_macro_ci_lower,recall_macro_ci_upper,recall_macro_std,recall_macro_n_datasets,recall_macro_n_runs,roc_auc_mean,roc_auc_median,roc_auc_ci_lower,roc_auc_ci_upper,roc_auc_std,roc_auc_n_datasets,roc_auc_n_runs
tabllm_qwen,TabLLM,tabllm,Qwen/Qwen2.5-3B-Instruct,0.429,0.43,0.369,0.489,0.254,70,70,0.364,0.377,0.318,0.411,0.198,70,70,0.31,0.322,0.261,0.359,0.207,70,70,0.429,0.43,0.369,0.489,0.254,70,70,0.385,0.402,0.321,0.449,0.273,70,70,0.342,0.367,0.288,0.396,0.23,70,70,0.364,0.377,0.318,0.411,0.198,70,70,0.504,0.5,0.485,0.522,0.0772,70,70
tabllm_gemini,TabLLM,tabllm-api,gemini-2.0-flash,0.501,0.52,0.438,0.564,0.267,70,70,0.443,0.478,0.391,0.494,0.22,70,70,0.402,0.416,0.347,0.457,0.233,70,70,0.501,0.52,0.438,0.564,0.267,70,70,0.474,0.524,0.407,0.541,0.283,70,70,0.42,0.432,0.363,0.476,0.239,70,70,0.443,0.478,0.391,0.494,0.22,70,70,0.597,0.551,0.55,0.643,0.139,70,35
CLAM,CLAM-t-SNE-tabular,clam-cls,,0.845,0.898,0.809,0.881,0.15,70,66,0.803,0.846,0.761,0.844,0.172,70,66,0.799,0.836,0.757,0.842,0.174,70,66,0.845,0.898,0.809,0.881,0.15,70,66,0.843,0.895,0.806,0.88,0.152,70,66,0.809,0.853,0.767,0.851,0.172,70,66,0.803,0.846,0.761,0.844,0.172,70,66,0.776,0.78,0.727,0.826,0.146,70,35
jolt,JOLT,jolt,,0.412,0.428,0.349,0.476,0.264,68,68,0.34,0.462,0.298,0.381,0.173,68,68,0.274,0.281,0.233,0.314,0.169,68,68,0.412,0.428,0.349,0.476,0.264,68,68,0.354,0.353,0.292,0.416,0.259,68,68,0.278,0.252,0.234,0.321,0.182,68,68,0.34,0.462,0.298,0.381,0.173,68,68,0.501,0.5,0.491,0.511,0.0367,68,58
catboost,catboost,tabular_baselines,,0.87,0.915,0.85,0.89,0.143,70,198,0.815,0.879,0.79,0.839,0.178,70,198,0.818,0.88,0.793,0.843,0.176,70,198,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,0.926,0.977,0.91,0.941,0.109,70,198
tabpfn_v2,tabpfn_v2,tabular_baselines,,0.878,0.915,0.858,0.898,0.14,66,185,0.822,0.886,0.796,0.848,0.179,66,185,0.823,0.884,0.797,0.849,0.179,66,185,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,0.93,0.979,0.915,0.945,0.103,66,185
random_forest,random_forest,tabular_baselines,,0.865,0.918,0.845,0.885,0.143,70,198,0.803,0.868,0.779,0.828,0.176,70,198,0.81,0.878,0.786,0.834,0.173,70,198,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,0.919,0.973,0.903,0.935,0.115,70,198
gradient_boosting,gradient_boosting,tabular_baselines,,0.854,0.901,0.834,0.874,0.144,70,198,0.795,0.833,0.77,0.819,0.177,70,198,0.799,0.84,0.775,0.823,0.174,70,198,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,0.918,0.972,0.903,0.934,0.111,70,198
logistic_regression,logistic_regression,tabular_baselines,,0.825,0.875,0.803,0.847,0.158,70,198,0.748,0.758,0.721,0.776,0.194,70,198,0.75,0.765,0.722,0.778,0.198,70,198,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,0.891,0.952,0.873,0.909,0.129,70,198
